seq1,seq2,item_id,category1,category2,item_definition,uni_lemma,word_1,word_2,word_3,word_for_llm,irregular,note,AoA,concreteness,iconicity,childBOI,adultBOI,Auditory,Gustatory,Haptic,Interoceptive,Olfactory,Visual,Foot_leg,Hand_arm,Head,Mouth,Torso,phoneme,socialness,semD,valence,arousal,valence2,arousal2,dominance,imageability,babiness,frequency,mlu,contextD,word_used,prop50.1,prop50.2,prop50.3,prop50.4,prop50.5,prop40.1,prop40.2,prop40.3,prop40.4,prop40.5,prop30.1,prop30.2,prop30.3,prop30.4,prop30.5,prop20.1,prop20.2,prop20.3,prop20.4,prop20.5,prop10.1,prop10.2,prop10.3,prop10.4,prop10.5
158,159,item_159,clothing,nouns,boots,boots,boots,,,boots,FALSE,,23,5,4.9,6.893617021,6.434782609,0.294117647,0,3.352941176,0,0.352941176,4.117647059,3.857142857,1.095238095,1.095238095,0.333333333,0.142857143,4,,1.585499467,5.89,3.52,4.11,6.48,5.08,,3,2034.694753,6.272300469,223,boots,training,test,training,training,test,test,test,test,training,training,test,test,test,test,test,training,test,test,test,test,test,training,test,test,test
159,160,item_160,clothing,nouns,button,button,button,,,button,FALSE,,24,4.96,4.4,6.586206897,6.153846154,0.375,0,3.875,0,0,3.75,0.153846154,4.230769231,2.230769231,0.153846154,0.230769231,5,1.227272727,1.624517474,5.48,4.1,4.52,5.9,6.53,,3.8,2028.184557,6.573149742,316,button,training,test,test,training,training,test,training,training,training,training,test,test,test,test,test,test,training,training,test,test,test,test,test,test,test
160,161,item_161,clothing,nouns,coat,coat,coat,,,coat,FALSE,,24,4.97,3,6.24,6.565217391,0.361111111,0,4,0.527777778,0.666666667,3.861111111,0.333333333,2.857142857,0.476190476,0.095238095,2.904761905,3,,1.584118905,5.29,3.1,4.71,6.9,6.68,6.7,2.363636364,1263.512341,6.333333333,215,coat,training,test,training,test,test,training,test,test,test,test,training,training,training,training,training,test,training,test,training,training,test,test,test,test,test
161,162,item_162,clothing,nouns,diaper,diaper,diaper,,,diaper,FALSE,,20,4.82,5.1,5.222222222,5.64,0.294117647,0.117647059,2.352941176,0.294117647,2.941176471,3.235294118,0.857142857,1.714285714,1.80952381,0.571428571,1.285714286,4,,,3.71,3.41,6.29,6.59,4.14,,6.916666667,1656.4116,7.453091684,456,diaper,test,test,test,test,training,test,training,training,training,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test
162,163,item_163,clothing,nouns,dress (object),dress (object),dress,,,dress,TRUE,polysemy,26,4.93,2.9,6.434782609,6.16,0.352941176,0,3.411764706,0.529411765,0.058823529,4.352941176,2.210526316,2.526315789,2.368421053,0.315789474,2.789473684,4,,1.463748195,6.42,4.73,3.58,5.27,6.64,6,2.9,1387.406145,8.414893617,328,dress,training,training,test,test,test,training,training,test,test,test,training,test,training,test,training,test,test,test,test,training,test,test,test,test,test
164,165,item_165,clothing,nouns,hat,hat,hat,,,hat,FALSE,,18.5,4.88,4.1,5.633333333,6.44,0.058823529,0,3.058823529,0.294117647,0.294117647,4.470588235,0.25,1.35,4.3,0.4,0.25,3,,1.651913133,5.69,2.88,4.31,7.12,6.21,6.7,4.066666667,3436.662582,6.106598985,706,hat,training,test,training,test,test,training,test,test,training,test,training,test,training,test,test,test,test,test,test,test,test,test,test,test,test
165,166,item_166,clothing,nouns,jacket,jacket,jacket,,,jacket,FALSE,,24,4.86,2.8,6.885714286,6.333333333,0.941176471,0,3.882352941,0.941176471,0.176470588,4.117647059,0.5,4.1,1.7,0.2,3.5,5,1.7,1.43149502,5.86,3.35,4.14,6.65,6.89,,4,1194.265449,6.309782609,167,jacket,training,training,test,test,test,training,test,test,training,test,training,test,test,training,training,training,test,test,test,training,test,test,test,test,test
166,167,item_167,clothing,nouns,jeans,jeans,jeans,,,jeans,FALSE,,28,5,2.7,6.041666667,6.44,0.833333333,0.111111111,3.777777778,0.611111111,0.666666667,4.333333333,4.526315789,1.578947368,1.473684211,0.210526316,0.789473684,4,,1.36569619,5.47,3.95,4.53,6.05,6.26,6.6,1.083333333,1124.188553,7.888888889,90,jeans,training,training,training,test,test,test,training,test,training,training,test,test,test,training,test,test,test,training,test,test,test,test,test,test,test
170,171,item_171,clothing,nouns,pants,pants,pants,,,pants,FALSE,,23,4.86,3,6.857142857,6.333333333,0.3,0,3.3,0.3,0.15,3.95,4.444444444,1,1.444444444,0.166666667,1.111111111,5,2.125,1.425584351,5.62,3.8,4.38,6.2,6.29,6.8,3.428571429,1841.466448,7.086500655,452,pants,training,training,training,test,test,test,test,training,training,training,training,test,test,test,test,training,test,test,test,test,test,test,test,test,test
171,172,item_172,clothing,nouns,scarf,scarf,scarf,,,scarf,FALSE,,,4.97,2.9,6.24,6.434782609,0.11627907,0.069767442,3.88372093,0.488372093,0.325581395,3.488372093,0.136363636,1.136363636,3,2.045454545,1.272727273,5,,1.465004366,6,2.39,4,7.61,6.39,6.5,2.6,1622.358602,6.84,79,scarf,test,test,training,training,training,test,test,training,test,training,test,test,test,training,test,test,training,test,test,test,test,test,test,test,test
172,173,item_173,clothing,nouns,shirt,shirt,shirt,,,shirt,FALSE,,23,4.94,2,6.782608696,6.473045822,0.333333333,0.4,4.2,0.533333333,0.8,4.8,0.142857143,2.619047619,1.19047619,0.142857143,3.333333333,3,2.043478261,1.416433505,5.56,2.3,4.44,7.7,5.67,6.5,5,2044.267364,7.596199525,474,shirt,training,training,training,training,training,test,test,test,test,training,test,training,test,training,test,test,test,test,test,test,test,test,test,test,test
173,174,item_174,clothing,nouns,shoe,shoe,shoe,,,shoe,FALSE,,17,4.97,3.3,6.818181818,6.458333333,0.777777778,0,3.444444444,0.277777778,1.055555556,4.388888889,4.2,1.35,1.8,0.35,0.2,2,,1.632985061,5.78,2.4,4.22,7.6,5.44,6.5,4.153846154,2960.719375,5.555041628,464,shoe,training,training,training,test,training,test,test,test,training,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test
175,176,item_176,clothing,nouns,slipper,slipper,slipper,,,slipper,FALSE,,27,4.86,5.090909091,6.68,6.166666667,0.1875,0,2.9375,0.375,0.1875,3.75,3.611111111,1,1.222222222,0.222222222,0.388888889,5,,1.628271738,5.8,3.83,4.2,6.17,5.93,,2,1604.858594,5.75308642,109,slipper,training,test,test,training,test,training,test,training,test,training,test,training,test,test,training,training,test,test,test,training,test,test,test,test,test
176,177,item_177,clothing,nouns,sneaker,sneaker,sneaker,,,sneaker,FALSE,,30,4.69,4.4,5.961538462,6.48,0.823529412,0,2.882352941,0.176470588,0.823529412,4.117647059,3.578947368,1.052631579,1.157894737,0.157894737,0.105263158,5,2.12,,5.85,3.45,4.15,6.55,6.31,,2.2,845.3576556,5,26,sneaker,test,training,training,test,training,test,training,test,training,training,test,test,test,test,test,test,test,test,test,test,test,training,test,test,test
178,179,item_179,clothing,nouns,sock,sock,sock,,,sock,FALSE,,21,4.91,2.4,6.826086957,5.833333333,0.166666667,0.166666667,4.111111111,0.277777778,1.666666667,3.611111111,4.85,1.6,1.25,0.05,0.05,3,,1.559089801,4.43,3.09,5.57,6.91,5.14,6.7,4.6,1741.815745,6.061497326,266,sock,training,training,test,test,training,test,training,test,test,test,test,test,test,test,training,test,test,test,test,test,training,test,test,test,test
179,180,item_180,clothing,nouns,sweater,sweater,sweater,,,sweater,FALSE,,26,4.78,3.846153846,6.434782609,6.592592593,0,0,4.105263158,0.421052632,0.421052632,3.894736842,0,2.85,1.45,0.05,3.5,5,1.857142857,1.236166295,6.19,2.8,3.81,7.2,5.95,,2.909090909,1125.768132,6.333333333,156,sweater,training,test,test,training,training,test,test,test,test,test,test,test,test,test,test,test,test,test,training,test,test,test,test,training,test
182,183,item_183,clothing,nouns,zipper,zipper,zipper,,,zipper,FALSE,,26,4.83,6.2,6.608695652,6.08,2.4,0,3.6,0.4,0,4,0.857142857,4,1.571428571,0.142857143,1.428571429,4,1.727272727,,5.11,3.73,4.89,6.27,5.18,,2.7,1453.398254,4.7,129,zipper,test,test,test,test,training,test,training,test,test,test,test,training,test,test,test,test,test,training,test,test,test,training,test,test,test
183,184,item_184,body_parts,nouns,ankle,ankle,ankle,,,ankle,FALSE,,30,4.81,2.727272727,6.173913043,5.833333333,0.484848485,0.03030303,3.606060606,1.484848485,0.03030303,4.090909091,4.894736842,0.526315789,0.684210526,0,0,5,,1.46107681,5.4,3.11,4.6,6.89,5.58,,4.454545455,911.1307708,5.9375,44,ankle,training,test,test,training,test,test,test,training,training,test,training,test,test,test,training,test,test,test,test,training,test,test,test,test,test
184,185,item_185,body_parts,nouns,arm,arm,arm,,,arm,FALSE,,23,4.96,4.9,6.30952381,6.47826087,0.181818182,0.090909091,3.939393939,2.545454545,0.121212121,3.818181818,0.052631579,4.842105263,1.157894737,0,0.736842105,3,,1.656955677,5.44,3.44,4.56,6.56,6.02,6.8,4.3,1434.145264,6.64673913,295,arm,test,test,test,training,training,training,test,test,training,training,training,test,test,training,test,test,test,test,test,test,test,test,test,test,test
187,188,item_188,body_parts,nouns,cheek,cheek,cheek,,,cheek,FALSE,,24,4.83,4,6.03125,5.481481481,0.631578947,0.631578947,2.947368421,1.105263158,0.210526316,3.947368421,0.315789474,1.526315789,3.157894737,1.631578947,0.315789474,3,,1.426099376,5.9,3.47,4.1,6.53,5.38,6.4,5.842105263,1167.574298,6.576271186,70,cheek,test,training,training,training,test,training,training,test,test,test,test,test,test,test,training,training,test,test,test,test,test,test,test,test,test
188,189,item_189,body_parts,nouns,chin,chin,chin,,,chin,FALSE,,25,4.89,3.6,5.777777778,5.884615385,0.444444444,0,2.666666667,0.222222222,0,4.166666667,0,0.65,2.15,3.6,0.05,3,,1.441305706,5.07,3.84,4.93,6.16,5.48,6.2,4.923076923,1080.551826,6.714285714,172,chin,test,test,test,test,test,test,training,training,training,test,training,test,test,test,test,test,training,test,test,test,test,training,test,test,test
189,190,item_190,body_parts,nouns,ear,ear,ear,,,ear,FALSE,,19,5,3.545454545,6.612903226,6.652173913,2.777777778,0.055555556,3.055555556,1.444444444,0.277777778,3.833333333,0.047619048,0.761904762,3.619047619,0.19047619,0.095238095,2,,1.725718803,5.86,3.5,4.14,6.5,6.74,6.8,3.909090909,1459.721525,5.9175,282,ear,test,training,training,test,training,test,test,test,test,training,training,training,training,test,training,test,test,test,training,training,test,test,test,test,training
190,191,item_191,body_parts,nouns,eye,eye,eye,,,eye,FALSE,,18,4.9,5.1,6.47826087,5.72,0.277777778,0.055555556,1.5,1.055555556,0,4.611111111,0,0.238095238,5,0.142857143,0,1,,1.940049619,6.18,3.95,3.82,6.05,5.72,6.7,4.083333333,1965.273016,6.059440559,380,eye,test,test,test,training,test,test,test,test,training,test,training,training,test,test,training,test,training,test,test,test,test,test,test,test,test
191,192,item_192,body_parts,nouns,face,face,face,,,face,FALSE,,24,4.87,3.6,6.730769231,5.857142857,0.25,0.35,3.1,0.45,0.3,4.95,0.1,0.8,4.6,2.85,0.2,3,,1.906027212,6.36,4.59,3.64,5.41,5.96,6.4,5.785714286,1630.828631,7.464063886,663,face,test,test,training,training,training,training,training,test,test,training,test,training,test,test,training,test,test,test,test,test,test,test,test,test,test
192,193,item_193,body_parts,nouns,finger,finger,finger,,,finger,FALSE,,23,5,3.1,6.956521739,6,0.157894737,0.631578947,4.105263158,0.789473684,0.368421053,3.947368421,0.176470588,4.588235294,1.411764706,0.176470588,0.176470588,5,,1.698099877,5.8,4.15,4.2,5.85,5.32,,5.166666667,1354.010699,7.090252708,350,finger,training,test,training,test,training,training,test,training,training,test,test,test,test,training,training,test,training,test,test,training,test,test,test,test,training
194,195,item_195,body_parts,nouns,hair,hair,hair,,,hair,FALSE,,21,4.97,4,6.718309859,6.318181818,0.5,0.222222222,3.777777778,0.277777778,1.944444444,4.388888889,0.904761905,2.19047619,4.047619048,0.523809524,1.047619048,3,2.727272727,1.486825195,6.18,3.71,3.82,6.29,6.69,6.3,2.8,2241.94306,6.821808511,806,hair,training,test,training,test,test,training,test,test,test,training,test,test,test,test,test,training,test,test,test,test,training,test,test,test,test
195,196,item_196,body_parts,nouns,hand,hand,hand,,,hand,FALSE,,22,4.72,3.9,6.75,6.44,0.65,0.15,3.65,0.95,0.3,4.25,0.157894737,4.421052632,0.947368421,0.157894737,0.210526316,4,3.157894737,2.058783202,5.9,3.98,4.1,6.02,5.88,6.4,4.9,1965.50046,7.197145877,763,hand,test,training,test,test,test,test,test,training,training,test,test,training,training,test,test,test,training,test,training,test,test,test,test,test,test
196,197,item_197,body_parts,nouns,head,head,head,,,head,FALSE,,22,4.75,4.090909091,6.659090909,5.48,1.052631579,0.473684211,3,0.842105263,0.736842105,4.473684211,0.157894737,0.736842105,4.631578947,2.789473684,0.368421053,3,2.181818182,1.964357374,5.86,4.45,4.14,5.55,5.56,6.8,4.1,2142.378532,7.459656429,885,head,training,test,test,test,test,test,test,training,training,training,test,training,test,training,training,training,test,test,test,test,test,test,test,test,test
197,198,item_198,body_parts,nouns,knee,knee,knee,,,knee,FALSE,,24,5,4,6.608695652,5.818181818,0.6,0,3.6,1.95,0,4.25,4.222222222,1.111111111,0.777777778,0,0.055555556,2,,1.594963156,4.7,4.25,5.3,5.75,5.38,6.4,2.909090909,1453.172528,6.271084337,189,knee,training,training,test,training,test,test,test,training,test,training,test,test,test,test,test,test,test,test,test,test,test,test,training,test,test
198,199,item_199,body_parts,nouns,leg,leg,leg,,,leg,FALSE,,24,4.83,3.3,6.666666667,5.875,0.529411765,0.117647059,3.117647059,1.294117647,0.235294118,3.823529412,4.4,0.6,1.25,0.3,0.45,3,,1.656752442,6.22,2.75,3.78,7.25,5.5,6.8,3.3,1654.706761,6.32010582,328,leg,test,test,test,test,training,test,test,training,training,training,test,test,test,training,training,test,test,test,test,training,test,test,test,test,test
200,201,item_201,body_parts,nouns,mouth,mouth,mouth,,,mouth,FALSE,,21,4.74,3.4,6.909090909,6.304347826,1.210526316,2,2.578947368,1.263157895,0.736842105,2.947368421,0.210526316,0.578947368,1,4.894736842,0.052631579,3,,1.519712927,5.59,4.14,4.41,5.86,6,,4.153846154,3112.173357,7.911717496,757,mouth,test,test,training,test,test,test,test,training,test,test,test,training,test,test,training,test,test,test,test,test,test,test,training,test,test
201,202,item_202,body_parts,nouns,nose,nose,nose,,,nose,FALSE,,18,4.89,3.3,6.681818182,6,1.19047619,0.428571429,3.047619048,1.142857143,3,4.238095238,0.052631579,1.789473684,4.210526316,0.894736842,0.052631579,3,,1.657666959,5.5,3.1,4.5,6.9,4.61,6.4,5.833333333,2729.034789,5.79667841,764,nose,training,training,training,training,test,test,test,training,training,test,test,training,test,test,test,test,test,training,training,test,test,test,training,test,test
204,205,item_205,body_parts,nouns,shoulder,shoulder,shoulder,,,shoulder,FALSE,,28,4.93,2.6,6.461538462,5.869565217,0.105263158,0.052631579,3.315789474,0.947368421,0.052631579,4.052631579,0.285714286,2.952380952,1.333333333,0.285714286,2.80952381,5,1.772727273,1.607921588,5.1,2.96,4.9,7.04,4.81,,2.833333333,2668.5475,8,78,shoulder,test,training,training,training,training,test,test,test,test,test,test,test,test,test,test,test,test,test,training,test,test,test,test,test,test
205,206,item_206,body_parts,nouns,toe,toe,toe,,,toe,FALSE,,22,4.93,3.5,6.72,5.954545455,0.157894737,0.157894737,3.473684211,1.157894737,0.789473684,4.368421053,4.25,0.3,0.85,0.05,0.05,2,,1.762959302,5.24,3.1,4.76,6.9,5.1,6.7,4.357142857,1335.141141,5.728323699,167,toe,training,training,training,training,training,test,test,training,test,training,test,test,test,test,training,test,test,test,test,test,test,test,test,test,test
206,207,item_207,body_parts,nouns,tongue,tongue,tongue,,,tongue,FALSE,,24,4.93,4.4,6.433333333,5.928571429,0.318181818,2.363636364,2.863636364,1.636363636,0.227272727,3.363636364,0.222222222,0.666666667,0.777777778,4.944444444,0.333333333,3,,1.570626674,6.29,4.25,3.71,5.75,6.32,6.5,3.8,1582.639202,6.054487179,222,tongue,training,test,test,training,test,training,test,training,test,training,training,test,test,training,test,test,test,test,training,test,test,test,test,test,test
207,208,item_208,body_parts,nouns,tooth,tooth,tooth,,,tooth,FALSE,,23,4.89,4,6.68,6.037037037,0.5,0.8125,3.375,1.375,0.0625,3.25,0,0.666666667,1.5,4.111111111,0,3,,1.714698347,5.06,3.52,4.94,6.48,4.89,6.8,7.3,1361.814998,7.755102041,142,tooth,training,test,training,training,training,training,test,training,test,test,test,test,test,training,test,test,test,test,test,test,test,test,test,test,test
208,209,item_209,body_parts,nouns,tummy,tummy,tummy,,,tummy,FALSE,,22,4.68,3.9,6.32,5.125,1,0.105263158,3.315789474,2.526315789,0.421052632,3.105263158,0.173913043,1.434782609,1.173913043,0.913043478,4.391304348,4,,1.041097289,6.05,3.78,3.95,6.22,5.04,,7.166666667,1601.127345,6.591900312,295,tummy,training,test,test,training,test,training,test,test,training,test,test,test,test,test,test,test,test,test,training,test,test,test,test,test,test
210,211,item_211,household,nouns,basket,basket,basket,,,basket,FALSE,,26,5,3.909090909,5.913043478,6.391304348,0.0625,0,4.375,0,0.0625,4.625,0.333333333,3.19047619,1.619047619,0.285714286,0.380952381,6,2.285714286,1.670694665,5.66,2.48,4.34,7.52,5.3,,5,1752.429876,7.728174603,348,basket,training,training,test,test,training,training,training,training,test,training,test,test,test,test,training,training,training,test,training,training,test,test,test,test,test
211,212,item_212,household,nouns,blanket,blanket,blanket,,,blanket,FALSE,,22,5,4.3,6.8,6.56,0.210526316,0.052631579,4.157894737,0.684210526,0.947368421,3.368421053,2.5,3.4,1.4,0.45,2.65,7,1.833333333,1.79681716,7.05,2.23,2.95,7.77,6.75,,8.916666667,1436.597635,8.275229358,316,blanket,test,training,test,test,training,test,test,test,test,training,test,test,test,test,training,training,test,test,test,training,test,test,test,test,training
212,213,item_213,household,nouns,bottle,bottle,bottle,,,bottle,FALSE,,20,4.91,3.8,6.4,5.464285714,0.764705882,0.294117647,2.705882353,0,0.352941176,4.176470588,0.368421053,3.631578947,1.736842105,2.842105263,0.526315789,5,1.869565217,1.537866091,5.47,3.32,4.53,6.68,5.88,,9.6,3579.811245,6.699522103,588,bottle,test,training,test,test,training,test,training,test,test,test,test,test,test,test,test,training,test,test,test,test,test,test,test,training,test
213,214,item_214,household,nouns,bowl,bowl,bowl,,,bowl,FALSE,,23,4.87,3,6.866666667,6.16,0.947368421,0.052631579,4.210526316,0,0.052631579,4.526315789,1.380952381,2.904761905,1.571428571,1,1.380952381,3,1.727272727,1.554171951,5.67,3.21,4.33,6.79,5.58,6.3,4.4,1690.167835,8.097913323,373,bowl,test,test,test,test,test,training,training,training,test,test,training,test,test,test,training,test,test,test,training,training,test,test,test,test,training
214,215,item_215,household,nouns,box,box,box,,,box,FALSE,,23,4.9,4.75,6.8,6.291666667,0.105263158,0,3.421052632,0.052631579,0.105263158,4.368421053,0.842105263,2.684210526,1.789473684,0.631578947,0.894736842,4,,1.915776759,5.33,2.67,4.67,7.33,4.67,6.7,1.941176471,4170.349448,7.384377758,796,box,test,training,test,training,test,test,test,training,training,test,test,test,test,test,training,test,test,test,training,training,test,test,test,test,training
215,216,item_216,household,nouns,broom,broom,broom,,,broom,FALSE,,25,4.89,3.5,5.615384615,6.416666667,1.5,0,3.722222222,0.055555556,0.055555556,4.166666667,1.227272727,3.954545455,1.409090909,0.090909091,0.909090909,4,,1.794623761,5.5,3.33,4.5,6.67,5.76,6.6,1.214285714,3518.717711,5.735042735,128,broom,training,test,training,training,test,test,test,training,test,test,test,test,test,training,test,test,test,test,test,test,test,test,test,test,test
216,217,item_217,household,nouns,brush,brush (object),brush,,,brush,TRUE,polysemy,23,4.54,5.2,6.692307692,6.043478261,1.277777778,0.222222222,3.388888889,1.111111111,0.222222222,3.277777778,0.368421053,3.631578947,2.368421053,1.157894737,0.526315789,4,,1.518723687,5.47,3.18,4.53,6.82,6.18,6.2,2.3,1984.700975,6.111702128,369,brush,test,training,test,training,training,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test
217,218,item_218,household,nouns,bucket,bucket,bucket,,,bucket,FALSE,,27,4.96,4.4,6.357142857,6,0.823529412,0.352941176,2.647058824,0.470588235,0.411764706,3.941176471,0.7,2.45,1.75,0.2,0.55,5,,1.587173318,4.55,2.96,5.45,7.04,5.52,,1.5,1406.559771,7.433884298,202,bucket,training,training,test,training,test,test,test,test,training,training,test,test,training,test,test,test,training,training,test,test,test,test,test,test,test
218,219,item_219,household,nouns,camera,camera,camera,,,camera,FALSE,,27,5,2.3,6.08,6.086956522,1.2,0.15,3.65,0.35,0.2,4.4,0.65,3.6,2.75,0.65,0.8,5,3.761904762,1.418355523,6.61,3.05,3.39,6.95,6.39,,4.9,1911.032626,6.517605634,358,camera,test,test,training,training,test,training,test,training,test,training,test,test,training,training,test,test,test,test,test,test,training,test,test,test,test
220,221,item_221,household,nouns,clock,clock,clock,,,clock,FALSE,,25,5,4.1,5.925925926,4.714285714,2.578947368,0.052631579,1.473684211,0.473684211,0.105263158,4.315789474,0.176470588,1.529411765,2.941176471,0.352941176,0.117647059,4,,1.754297962,5.65,3.35,4.35,6.65,5.24,6.8,3.3,2729.459343,5.618715084,333,clock,test,test,training,training,training,training,training,test,training,test,test,test,test,test,test,test,test,training,test,test,test,test,training,test,test
221,222,item_222,household,nouns,comb,comb (object),comb,,,comb,TRUE,polysemy,26,5,3.818181818,6.085106383,5.923076923,0.578947368,0,4.157894737,0.842105263,0.052631579,3.894736842,0,3.9,4.1,0.1,0.15,3,1.80952381,1.408503107,5.65,2.33,4.35,7.67,6.68,6.4,3.875,1678.589245,6.33819242,228,comb,test,test,training,test,test,training,test,test,test,test,test,training,training,training,test,training,test,test,test,test,test,training,test,test,test
222,223,item_223,household,nouns,cup,cup,cup,,,cup,FALSE,,21,5,3.833333333,6.857142857,6.043478261,0.6875,1.125,3.6875,0.3125,0.6875,4.5,0.25,3.8,1.95,3.15,0.45,3,,1.509813639,5.94,2.6,4.06,7.4,5.28,6.7,3.363636364,2528.017401,6.945609436,584,cup,training,test,test,training,training,training,test,test,training,training,test,test,test,test,test,test,training,test,test,test,test,test,test,test,test
223,224,item_224,household,nouns,dish,dish,dish,,,dish,FALSE,,28,4.9,3.8,6.740740741,5.8,0.555555556,0.611111111,3.666666667,0.055555556,0.333333333,4,0.05,2.7,1.3,0.45,0.05,3,,1.30760694,5.7,3.57,4.3,6.43,5.5,6.2,3.545454545,1476.720212,8.852941176,141,dish,training,test,test,training,test,test,training,test,test,training,test,training,training,test,test,test,test,training,test,test,test,test,test,test,test
224,225,item_225,household,nouns,fork,fork,fork,,,fork,FALSE,,23,4.9,3.9,6.8,5.6,0.833333333,0.722222222,3.666666667,0.055555556,0.166666667,4.111111111,0.45,4.45,1.65,3.15,0.55,4,,1.644925877,5.47,3.35,4.53,6.65,6.02,6.6,1.705882353,4946.306516,6.643243243,180,fork,test,test,test,test,test,training,training,test,training,training,training,training,test,test,test,test,test,test,test,test,test,test,test,training,test
225,226,item_226,household,nouns,garbage,trash,garbage,,,garbage,FALSE,,26,4.69,3,6.166666667,4.96,0.473684211,0.789473684,2.368421053,0.684210526,4.263157895,4.578947368,0.5,1.9,2.75,0.35,0.15,6,2.266294227,1.656994895,2.88,3.84,7.12,6.16,5.15,,1.272727273,1977.232886,7.767857143,229,garbage,training,test,test,test,test,test,test,test,training,training,training,test,test,test,test,test,test,training,test,test,test,test,test,test,test
226,227,item_227,household,nouns,glass,glass,glass,,,glass,FALSE,,27,4.82,4.416666667,5.444444444,6.12,1.210526316,0.210526316,3.368421053,0.105263158,0.184210526,4.210526316,0.15,2.85,2.05,0.7,0.2,4,,1.611711417,5.48,3.14,4.52,6.86,5.42,6.5,3.083333333,1675.385357,8.939226519,248,glass,training,training,test,training,training,test,test,test,test,test,test,test,test,training,test,test,test,test,test,test,test,test,test,test,test
228,229,item_229,household,nouns,hammer,hammer,hammer,,,hammer,FALSE,,27,4.77,3.727272727,5.37037037,6.173913043,3.526315789,0.263157895,3.526315789,0.578947368,0.368421053,4.210526316,0.578947368,4.421052632,2.421052632,0.631578947,1.105263158,4,,1.75027196,5.17,4.56,4.83,5.44,5.59,,4.9,2308.353203,5.83045977,225,hammer,training,training,training,test,training,training,training,training,training,training,test,test,test,test,test,training,training,test,test,test,test,test,test,test,test
229,230,item_230,household,nouns,jar,jar,jar,,,jar,FALSE,,30,5,4.272727273,6.038461538,6.208333333,0.411764706,0.117647059,4,0,0.117647059,4.529411765,0,3.380952381,1.619047619,0.380952381,0.142857143,3,,1.551196554,5.71,2.77,4.29,7.23,5.26,6.8,4.4,1073.000326,9.194029851,184,jar,test,training,training,test,test,training,test,training,training,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test,test
232,233,item_233,household,nouns,lamp,lamp,lamp,,,lamp,FALSE,,29,4.97,4.3,5.96,6.083333333,0.294117647,0,2.529411765,0,0.058823529,4.705882353,0.722222222,2.666666667,2.722222222,0.388888889,0.388888889,4,,1.512194229,5.74,2.71,4.26,7.29,6.04,6.6,2.384615385,1044.383326,6.25,93,lamp,test,test,test,test,training,test,training,test,test,test,test,test,test,training,test,test,test,test,test,test,test,test,test,test,test
234,235,item_235,household,nouns,medicine,medicine,medicine,,,medicine,FALSE,,26,4.79,3.909090909,5.32,5.692307692,0.65,3.9,2.65,2.95,2.15,3.7,0.722222222,2,3,4,1.555555556,7,4.583333333,1.514150365,5.9,4,4.1,6,5.35,,3.272727273,1986.221396,6.540084388,248,medicine,test,training,training,training,test,training,test,test,training,test,test,test,test,test,training,test,test,test,test,training,test,test,test,test,test
235,236,item_236,household,nouns,money,money,money,,,money,FALSE,,25,4.54,2.7,6,6.291666667,0.666666667,0,3.666666667,0.5,1.277777778,4.333333333,0.5,2.15,2,0.7,0.6,4,,1.956150956,7.1,6.86,2.9,3.14,6.32,,4.8,2224.916449,7.310126582,277,money,test,training,test,training,training,test,test,training,test,test,test,test,test,test,test,training,test,test,test,test,test,test,training,test,test
236,237,item_237,household,nouns,mop,mop (object),mop,,,mop,TRUE,polysemy,30,4.97,4.666666667,5.1875,6.192307692,1.315789474,0.105263158,2.631578947,0.473684211,0.736842105,3.684210526,1.666666667,3.904761905,1.476190476,0.428571429,1.333333333,3,,1.710265935,4.53,3.14,5.47,6.86,5.32,6.4,2.25,1671.158794,5.883116883,80,mop,training,test,training,training,training,training,test,test,training,test,test,training,training,test,test,test,test,test,training,test,test,test,training,test,test
237,238,item_238,household,nouns,nail,nail (object),nail,,,nail,TRUE,polysemy,29,4.93,4.6,5.269230769,5.541666667,1.571428571,0.071428571,4.571428571,0.214285714,0,4.428571429,1.157894737,4.368421053,1.842105263,0.157894737,0.578947368,3,,1.760433676,4.6,3.05,5.4,6.95,5.17,6.6,2.846153846,2117.652797,7.105263158,107,nail,training,training,training,training,training,training,test,training,training,training,training,training,test,training,training,test,training,test,test,test,test,training,test,test,test
238,239,item_239,household,nouns,napkin,napkin,napkin,,,napkin,FALSE,,26,4.93,3.1,6.32,6.333333333,0.4375,0.1875,3.8125,0.0625,0.375,4.375,0.526315789,3.736842105,2.105263158,2.421052632,0.684210526,6,,1.216644377,5.63,3.09,4.37,6.91,5.21,,3.357142857,1595.640395,5.845528455,127,napkin,test,training,training,test,test,training,training,test,test,training,test,test,test,test,test,test,training,test,test,test,test,test,test,test,test
239,240,item_240,household,nouns,paper,paper,paper,,,paper,FALSE,,24,4.93,3.411764706,6.739130435,5.695652174,1.894736842,0.105263158,4.210526316,0.368421053,0.684210526,4.315789474,0.3,3.45,1.9,0.35,0.35,4,,1.832614306,5.42,3.52,4.58,6.48,5.64,,2.833333333,1995.897065,7.306595365,548,paper,training,test,training,test,training,training,test,training,test,test,training,training,test,test,test,test,test,test,test,test,test,test,test,test,test
